transaction_id,sender_account,receiver_account,sender_customer_id,amount,transaction_type,transaction_time,hour_of_day,location,is_new_beneficiary,is_high_risk_country,is_suspicious
TXN-11447,ACC-50026,ACC-50122,CUST-1026,43525.7,CASH_DEPOSIT,2026-08-09 14:53:00,6,"Mumbai, IN",0,0,0
TXN-11114,ACC-50087,ACC-50021,CUST-1087,2805.88,CASH_DEPOSIT,2026-08-05 00:54:00,16,"Mumbai, IN",1,0,0
TXN-11064,ACC-50001,ACC-50051,CUST-1001,31893.07,TRANSFER,2026-08-06 02:07:00,18,"Mumbai, IN",0,0,0
TXN-12287,ACC-50123,ACC-50124,CUST-1123,179600.02,WIRE,2026-08-06 14:33:00,6,"Dubai, AE",1,0,1
TXN-11537,ACC-50110,ACC-50025,CUST-1110,13985.35,TRANSFER,2026-08-05 06:20:00,22,"Mumbai, IN",0,0,0
TXN-10668,ACC-50054,ACC-50081,CUST-1054,5553.01,TRANSFER,2026-08-05 14:49:00,6,"Mumbai, IN",0,0,0
TXN-11583,ACC-50053,ACC-50043,CUST-1053,8791.71,TRANSFER,2026-08-04 14:50:00,6,"Mumbai, IN",0,0,0
TXN-12404,ACC-50131,ACC-50040,CUST-1131,113971.27,WIRE,2026-08-10 12:43:00,4,"George Town, KY",1,1,1
TXN-10497,ACC-50145,ACC-50112,CUST-1145,3832.54,CASH_DEPOSIT,2026-08-07 19:39:00,11,"Mumbai, IN",0,0,0
TXN-12480,ACC-59902,ACC-59903,CUST-9001,972540.4,WIRE,2026-08-02 10:55:00,2,"George Town, KY",1,1,1
TXN-10471,ACC-50095,ACC-50066,CUST-1095,2887.31,CASH_DEPOSIT,2026-08-02 23:29:00,15,"Mumbai, IN",0,0,0
TXN-10246,ACC-50107,ACC-50038,CUST-1107,48091.61,CASH_DEPOSIT,2026-08-05 03:44:00,19,"Mumbai, IN",1,0,0
TXN-10923,ACC-50051,ACC-50107,CUST-1051,6514.73,TRANSFER,2026-08-11 02:16:00,18,"Mumbai, IN",0,0,0
TXN-11131,ACC-50137,ACC-50074,CUST-1137,8496.95,CASH_DEPOSIT,2026-08-04 16:44:00,8,"Mumbai, IN",0,0,0
TXN-10670,ACC-50059,ACC-50066,CUST-1059,50431.17,CASH_DEPOSIT,2026-08-10 23:05:00,15,"Mumbai, IN",0,0,0
TXN-10916,ACC-50108,ACC-50146,CUST-1108,7391.76,CASH_DEPOSIT,2026-08-08 06:57:00,22,"Mumbai, IN",1,0,0
TXN-11414,ACC-50088,ACC-50073,CUST-1088,11326.28,TRANSFER,2026-08-01 23:46:00,15,"Mumbai, IN",1,0,0
